filing_number,time_filed,form_type,skeda_lines,skedb_lines,skede_lines,other_lines,total_lines
963059,10/20 06:44 PM,F6N,1,0,0,0,1
963058,10/20 06:42 PM,F6A,10,0,0,0,10
963057,10/20 06:42 PM,F6N,4,0,0,0,4
963056,10/20 06:41 PM,F3XN,10,34,0,0,44
963055,10/20 06:39 PM,F3XN,16,3,0,39,58
963054,10/20 06:39 PM,F99,0,0,0,0,0
963053,10/20 06:39 PM,F3XN,1690,69,2,0,1761
963052,10/20 06:38 PM,F3XN,175,3,0,0,178
963051,10/20 06:38 PM,F3XN,968,28,0,0,996
963050,10/20 06:37 PM,F3XN,223,25,0,92,340
963049,10/20 06:36 PM,F3XA,21,24,0,32,77
963048,10/20 06:35 PM,F3XN,233,158,0,100,491
963047,10/20 06:35 PM,F6N,9,0,0,0,9
963046,10/20 06:35 PM,F3N,83,42,0,0,125
963045,10/20 06:34 PM,F6N,8,0,0,0,8
963044,10/20 06:34 PM,F3XN,93,100,0,0,193
963043,10/20 06:33 PM,F3XN,271,18,0,0,289
963042,10/20 06:33 PM,F3XA,70,135,0,112,317
963041,10/20 06:32 PM,F6N,1,0,0,0,1
963040,10/20 06:30 PM,F6N,1,0,0,0,1
963039,10/20 06:29 PM,F3XN,10813,644,207,32,11696
963038,10/20 06:29 PM,F3XN,81,11,1,0,93
963037,10/20 06:28 PM,F3XN,333,180,0,53,566
963036,10/20 06:28 PM,F3XN,42,14,0,0,56
963035,10/20 06:28 PM,F3XN,33831,1449,0,9,35289
963034,10/20 06:27 PM,F3XN,1,6,4,0,11
963033,10/20 06:26 PM,F6N,5,0,0,0,5
963032,10/20 06:24 PM,F3XN,892,101,13,1,1007
963031,10/20 06:24 PM,F6N,1,0,0,0,1
963030,10/20 06:23 PM,F6N,2,0,0,0,2
963029,10/20 06:23 PM,F3XN,130,14,0,1,145
963028,10/20 06:23 PM,F6N,1,0,0,0,1
963027,10/20 06:23 PM,F3XN,3,13,0,0,16
963026,10/20 06:23 PM,F3XN,17,7,0,20,44
963025,10/20 06:22 PM,F24N,0,0,1,0,1
963024,10/20 06:22 PM,F3XN,211,131,75,0,417
963023,10/20 06:22 PM,F3XN,632,116,0,7,755
963022,10/20 06:21 PM,F3XN,16,36,0,0,52
963021,10/20 06:21 PM,F3A,98,162,0,1,261
963020,10/20 06:21 PM,F3XA,0,1,1,0,2
963019,10/20 06:21 PM,F6N,3,0,0,0,3
963018,10/20 06:20 PM,F24N,0,0,1,0,1
963017,10/20 06:17 PM,F3XN,0,2,0,0,2
963016,10/20 06:17 PM,F3XN,17244,15113,49,1,32407
963015,10/20 06:16 PM,F3XA,126,103,0,41,270
963014,10/20 06:16 PM,F24A,0,0,1,0,1
963013,10/20 06:15 PM,F99,0,0,0,0,0
963012,10/20 06:14 PM,F3XN,351,23,0,0,374
963011,10/20 06:11 PM,F3XN,92,13,0,0,105
963010,10/20 06:10 PM,F6N,1,0,0,0,1
963009,10/20 06:10 PM,F6N,1,0,0,0,1
963008,10/20 06:09 PM,F3XN,613,93,0,0,706
963007,10/20 06:08 PM,F3XN,70,135,0,113,318
963006,10/20 06:08 PM,F3XN,1,1,1,1,4
963005,10/20 06:07 PM,F6N,4,0,0,0,4
963004,10/20 06:06 PM,F3XN,0,6,0,0,6
963003,10/20 06:06 PM,F3XN,671,373,0,635,1679
963002,10/20 06:05 PM,F3XN,228,54,0,1,283
963001,10/20 06:04 PM,F3XN,53,2,0,0,55
963000,10/20 06:04 PM,F3XN,32,51,0,0,83
962999,10/20 06:03 PM,F3XN,0,0,0,0,0
962998,10/20 06:03 PM,F6N,3,0,0,0,3
962997,10/20 06:02 PM,F3XN,0,0,0,0,0
962996,10/20 06:02 PM,F3XN,0,5,0,0,5
962995,10/20 06:01 PM,F3XN,0,0,0,0,0
962994,10/20 06:01 PM,F24N,0,0,7,0,7
962993,10/20 06:00 PM,F3XN,8,2,0,30,40
962992,10/20 06:00 PM,F6N,1,0,0,0,1
962991,10/20 06:00 PM,F3XN,62,79,0,0,141
962990,10/20 05:59 PM,F3XN,11,1,0,0,12
962989,10/20 05:59 PM,F6N,4,0,0,0,4
962988,10/20 05:58 PM,F3N,47,41,0,0,88
962987,10/20 05:57 PM,F3XN,30,4,0,113,147
962986,10/20 05:56 PM,F3XN,1173,52,0,0,1225
962985,10/20 05:56 PM,F3XN,52,0,0,0,52
962984,10/20 05:56 PM,F3XN,1,5,0,0,6
962983,10/20 05:55 PM,F3XN,0,0,0,0,0
962982,10/20 05:55 PM,F3XN,224,62,0,1,287
962981,10/20 05:53 PM,F3XN,0,9,0,0,9
962980,10/20 05:53 PM,F3XN,14,2,0,0,16
962979,10/20 05:53 PM,F3XN,0,15,0,0,15
962978,10/20 05:50 PM,F3XN,19,41,0,0,60
962977,10/20 05:50 PM,F3XN,1324,72,41,11,1448
962976,10/20 05:49 PM,F3XN,1803,316,88,4,2211
962975,10/20 05:48 PM,F3XN,5,17,0,0,22
962974,10/20 05:48 PM,F6N,7,0,0,0,7
962973,10/20 05:48 PM,F3XN,0,0,0,0,0
962972,10/20 05:47 PM,F3XN,587,86,0,0,673
962971,10/20 05:47 PM,F3XA,1696,37,2,2,1737
